SYMBOL,COMPANY NAME,SUBJECT,DETAILS,BROADCAST DATE/TIME,RECEIPT,DISSEMINATION,DIFFERENCE,ATTACHMENT
VSTTILLERS,V.S.T Tillers Tractors Limited,General Updates,V.S.T Tillers Tractors Limited has informed the Exchange about sad Demise of Promoter,30-Jan-2026 16:13:00,2026-01-30 16:13:00,30-Jan-2026 16:13:01,00:00:01,https://nsearchives.nseindia.com/corporate/VSTTILLERS_30012026161214_SE.pdf
NORTHARC,Northern Arc Capital Limited,Outcome of Board Meeting,"Northern Arc Capital Limited has submitted to the Exchange, the financial results for the period ended December 31, 2025.",30-Jan-2026 16:11:29,2026-01-30 16:11:29,30-Jan-2026 16:11:30,00:00:01,https://nsearchives.nseindia.com/corporate/NACL2020_30012026160956_NAC_Q3_2025.pdf
NATIONALUM,National Aluminium Company Limited,Analysts/Institutional Investor Meet/Con. Call Updates,National Aluminium Company Limited has informed the Exchange about Presentation,30-Jan-2026 16:11:18,2026-01-30 16:11:18,30-Jan-2026 16:11:19,00:00:01,https://nsearchives.nseindia.com/corporate/bharatsahu_30012026161105_SELetter_presentation.pdf
AADHARHFC,Aadhar Housing Finance Limited,Monitoring Agency Report,"Monitoring Agency report for the quarter ended December 31, 2025",30-Jan-2026 16:11:07,2026-01-30 16:11:07,30-Jan-2026 16:11:08,00:00:01,https://nsearchives.nseindia.com/corporate/AHFL2021_30012026161048_FinalSEIntimation_SD.pdf
OPTIEMUS,Optiemus Infracom Limited,Updates,Optiemus Infracom Limited has informed the Exchange regarding 'Report on Transfer Requests of Physical Shares re-lodged under the special window'.,30-Jan-2026 16:10:39,2026-01-30 16:10:39,30-Jan-2026 16:10:40,00:00:01,https://nsearchives.nseindia.com/corporate/OPTIEMUS_30012026161007_OILReportOnTransferRequestOfPhysicalSharesUnderSpecialWindow30012026.pdf
LXCHEM,Laxmi Organic Industries Limited,Analysts/Institutional Investor Meet/Con. Call Updates,Laxmi Organic Industries Limited has informed the Exchange about Link of Recording,30-Jan-2026 16:09:54,2026-01-30 16:09:54,30-Jan-2026 16:09:54,00:00:00,https://nsearchives.nseindia.com/corporate/LXCHEM_30012026160937_IntimationofAnalystMeetingRecordingFinal.pdf
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,Retirement,ZF Commercial Vehicle Control Systems India Limited has informed the Exchange about Retirement of SMP,30-Jan-2026 16:09:52,2026-01-30 16:09:52,30-Jan-2026 16:09:53,00:00:01,https://nsearchives.nseindia.com/corporate/WABCOINDIA_30012026160936_Sd_SEIntimationMSRK.pdf
VMART,V-Mart Retail Limited,Analysts/Institutional Investor Meet/Con. Call Updates,V-Mart Retail Limited has informed the Exchange about Transcript,30-Jan-2026 16:09:43,2026-01-30 16:09:43,30-Jan-2026 16:09:44,00:00:01,https://nsearchives.nseindia.com/corporate/VMART_30012026160932_Transcript_Q3FY26.pdf
ADANIGREEN,Adani Green Energy Limited,General Updates,Adani Green Energy Limited has informed the Exchange about General Updates,30-Jan-2026 16:09:42,2026-01-30 16:09:42,30-Jan-2026 16:09:43,00:00:01,https://nsearchives.nseindia.com/corporate/ADANIGREEN_30012026160923_Letter.pdf
QUESS,Quess Corp Limited,Copy of Newspaper Publication,"Quess Corp Limited has informed the Exchange about Copy of Newspaper Publication titled ""Record Date for Interim Dividend & Communication for Tax Deduction at Source""",30-Jan-2026 16:08:53,2026-01-30 16:08:53,30-Jan-2026 16:08:54,00:00:01,https://nsearchives.nseindia.com/corporate/Quesscorp_30012026160842_SE_Intimation_Newspaper_Publication.pdf
MIRCELECTR,MIRC Electronics Limited,Appointment,"MIRC Electronics Limited has informed the Exchange regarding Appointment of Mr Gunjan Srivastava as Chief Executive Officer of the company w.e.f. February 01, 2026.",30-Jan-2026 16:08:37,2026-01-30 16:08:37,30-Jan-2026 16:08:38,00:00:01,https://nsearchives.nseindia.com/corporate/MIRCELECTR_30012026160824_MIRC.pdf
INTELLECT,Intellect Design Arena Limited,Investor Presentation,Intellect Design Arena Limited has informed the Exchange about Investor Presentation,30-Jan-2026 16:08:32,2026-01-30 16:08:32,30-Jan-2026 16:08:33,00:00:01,https://nsearchives.nseindia.com/corporate/INTELLECT_30012026160752_InvestorPresentationQ3FY26DSC.pdf
WALCHANNAG,Walchandnagar Industries Limited,Appointment,"Walchandnagar Industries Limited has informed the Exchange regarding Appointment of Mr Chirag C Doshi as Managing Director & CEO of the company w.e.f. April 01, 2026.",30-Jan-2026 16:07:48,2026-01-30 16:07:48,30-Jan-2026 16:07:49,00:00:01,https://nsearchives.nseindia.com/corporate/WALCHANNAG_30012026160737_WIL_-_Reg_30_Appointment_of_CCD.pdf
FEDFINA,Fedbank Financial Services Limited,Analysts/Institutional Investor Meet/Con. Call Updates,Fedbank Financial Services Limited has informed the Exchange about Schedule of meet,30-Jan-2026 16:07:40,2026-01-30 16:07:40,30-Jan-2026 16:07:42,00:00:02,https://nsearchives.nseindia.com/corporate/FEDFINA_30012026160722_IntimationAnalystsmeets30012026signed.pdf
SUMMITSEC,Summit Securities Limited,Copy of Newspaper Publication,"Summit Securities Limited has informed the Exchange about Copy of Newspaper Publication regarding Unaudited Financial Results for the quarter and nine months ended December 31, 2025.",30-Jan-2026 16:06:50,2026-01-30 16:06:50,30-Jan-2026 16:06:51,00:00:01,https://nsearchives.nseindia.com/corporate/SUMMITSEC_30012026160616_UFRNewspaperPublication.pdf
BANARBEADS,Banaras Beads Limited,Copy of Newspaper Publication,Banaras Beads Limited has informed the Exchange about Copy of Newspaper Publication,30-Jan-2026 16:06:22,2026-01-30 16:06:22,30-Jan-2026 16:06:24,00:00:02,https://nsearchives.nseindia.com/corporate/BANARBEADS_30012026160613_Publishn.pdf
ORIENTBELL,Orient Bell Limited,Analysts/Institutional Investor Meet/Con. Call Updates,"Pursuant to Regulation 30 read with Para A of Part A of Schedule III of the SEBI (ListingObligations & Disclosure Requirements) Regulations, 2015, please find enclosed transcriptof Earnings Call held on 27th January, 2026 post announcement of unaudited financial resultsof the Company for the quarter and nine months ended December 31, 2025.",30-Jan-2026 16:05:26,2026-01-30 16:05:26,30-Jan-2026 16:05:26,00:00:00,https://nsearchives.nseindia.com/corporate/ORIENTBELL_30012026160158_transcriptf.pdf
SEAMECLTD,Seamec Limited,Outcome of Board Meeting,"Seamec Limited has submitted to the Exchange, the financial results for the period ended December 31, 2025.",30-Jan-2026 16:04:19,2026-01-30 16:04:19,30-Jan-2026 16:04:20,00:00:01,https://nsearchives.nseindia.com/corporate/SEAMECLTD_30012026160332_OutcomeofBoardMeetingBSENSE30012026.pdf
COLPAL,Colgate Palmolive (India) Limited,General Updates,Colgate Palmolive (India) Limited has informed the Exchange about General Updates,30-Jan-2026 16:04:13,2026-01-30 16:04:13,30-Jan-2026 16:04:14,00:00:01,https://nsearchives.nseindia.com/corporate/COLPALS_30012026160404_Copy_of_SE_INtimation_Newsletter_signed.pdf
INTELLECT,Intellect Design Arena Limited,Press Release,"Intellect Design Arena Limited has informed the Exchange regarding a press release dated January 30, 2026, titled ""Intellect s Last Twelve Months Revenue Crosses INR 3000 Crs in Q3 FY26"".",30-Jan-2026 16:03:46,2026-01-30 16:03:46,30-Jan-2026 16:03:47,00:00:01,https://nsearchives.nseindia.com/corporate/INTELLECT_30012026160300_PressReleaseonFinancialResultsQ3FY26DSC.pdf
ALOKINDS,Alok Industries Limited,Resignation,"Alok Industries Limited has informed the Exchange regarding Resignation of  Shri Harsh Bapna as Chief Executive Officer of the company w.e.f. January 31, 2026.",30-Jan-2026 16:02:32,2026-01-30 16:02:32,30-Jan-2026 16:02:33,00:00:01,https://nsearchives.nseindia.com/corporate/ALOKIND_30012026155900_Reg30_Intimation_CEO_Resignation.pdf
QUESS,Quess Corp Limited,Copy of Newspaper Publication,"Quess Corp Limited has informed the Exchange about Copy of Newspaper Publication on Unaudited Financial Results for the quarter and nine months ended December 31,2025.",30-Jan-2026 16:01:11,2026-01-30 16:01:11,30-Jan-2026 16:01:12,00:00:01,https://nsearchives.nseindia.com/corporate/Quesscorp_30012026160059_SEIntimation_NewspaperPublication_signed.pdf
PRAENG,Prajay Engineers Syndicate Limited,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Prajay Engineers Syndicate Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018Sub: Certificate under Regulation 74(5) of the SEBI (Depositories and Participants), Regulations 2018 for the Quarter ended 31-12-2025.In compliance with Regulation 74(5) of SEBI (Depositories and Participants) Regulations, 2018, we are forwarding herewith a copy of the Certificate received from the Registrar and Share Transfer Agent of the company   Venture Capital & Corporate Investments Private Limited, Hyderabad for the quarter ended 31-12-2025. You are requested to take same on your records.",30-Jan-2026 16:01:09,2026-01-30 16:01:09,30-Jan-2026 16:01:10,00:00:01,https://nsearchives.nseindia.com/corporate/PRAENG_30012026160045_PESL-74_5_Q3.pdf
EMBDL,Embassy Developments Limited,General Updates,Embassy Developments Limited has informed the Exchange about Allotment of non-convertible debentures aggregating to INR 250 crores.,30-Jan-2026 16:00:06,2026-01-30 16:00:06,30-Jan-2026 16:00:08,00:00:02,https://nsearchives.nseindia.com/corporate/IBREL_30012026155752_EDL_SE_Intimation_Allotment_of_NCD_3001.pdf
ANANTRAJ,Anant Raj Limited,Updates,"Anant Raj Limited has informed the Exchange regarding 'Report on action taken during the Special Window for re-lodgement of transfer requests (December 1, 2025, to January 6, 2026)'.",30-Jan-2026 16:00:04,2026-01-30 16:00:04,30-Jan-2026 16:00:06,00:00:02,https://nsearchives.nseindia.com/corporate/ANANTRAJ_30012026155930_Report_on_Special_Window_30012026.pdf
NILASPACES,Nila Spaces Limited,Resignation of Independent director,NILA SPACES LIMITED has informed the Exchange about Resignation of Independent director.,30-Jan-2026 15:59:27,2026-01-30 15:59:27,30-Jan-2026 15:59:28,00:00:01,https://nsearchives.nseindia.com/corporate/NILASPACES_ROID_77063_KMP_Doc.zip
SKIPPER,Skipper Limited,Updates,Skipper Limited has informed the Exchange regarding 'updates'.,30-Jan-2026 15:59:06,2026-01-30 15:59:06,30-Jan-2026 15:59:06,00:00:00,https://nsearchives.nseindia.com/corporate/skipper_30012026155745_updatesnse.pdf
PATINTLOG,Patel Integrated Logistics Limited,Resignation,"Pursuant to Regulation 30 read with Para A of Part A of Schedule III of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, we wish to inform you that Mr. Deepak Madhukar Keni, Chief Financial Officer (CFO) of the Company has tendered his resignation effective from close of business hours on 30th January, 2026, on account of personal reasons.",30-Jan-2026 15:58:47,2026-01-30 15:58:47,30-Jan-2026 15:58:48,00:00:01,https://nsearchives.nseindia.com/corporate/PATELINT_30012026155839_Final_Deepak_CFO_Resignation_Signed.pdf
NEOGEN,Neogen Chemicals Limited,Analysts/Institutional Investor Meet/Con. Call Updates,Neogen Chemicals Limited has informed the Exchange about Schedule of meet,30-Jan-2026 15:58:00,2026-01-30 15:58:00,30-Jan-2026 15:58:01,00:00:01,https://nsearchives.nseindia.com/corporate/NEOGEN_30012026155743_Intimationofmeeting09032026.pdf
NEULANDLAB,Neuland Laboratories Limited,Updates,Neuland Laboratories Limited has informed the Exchange regarding 'Intimation regarding conversion of Statutory Auditor s Firm to a Limited Liability Partnership (LLP)'.,30-Jan-2026 15:57:57,2026-01-30 15:57:57,30-Jan-2026 15:57:59,00:00:02,https://nsearchives.nseindia.com/corporate/NEULANDLAB_30012026155723_SignedSE_Intimation.pdf
NILASPACES,Nila Spaces Limited,Resignation,"Nila Spaces Limited has informed the Exchange regarding Resignation of Mr AMIT CHOKSHI as Non- Executive Independent Director of the company w.e.f. January 30, 2026.",30-Jan-2026 15:57:22,2026-01-30 15:57:22,30-Jan-2026 15:57:23,00:00:01,https://nsearchives.nseindia.com/corporate/NILASPACES_30012026155616_ResignationAmitChokshi.pdf
SURAJEST,Suraj Estate Developers Limited,Statement of deviation(s) or variation(s) under Reg. 32,Suraj Estate Developers Limited has informed the Exchange about statement of deviation(s) or variation(s) under Reg. 32,30-Jan-2026 15:57:21,2026-01-30 15:57:21,30-Jan-2026 15:57:23,00:00:02,https://nsearchives.nseindia.com/corporate/SURAJ_30012026155710_SOD.pdf
USHAMART,Usha Martin Limited,Analysts/Institutional Investor Meet/Con. Call Updates,USHAMART: Usha Martin Limited has informed the Exchange about Link of Recording.,30-Jan-2026 15:57:11,2026-01-30 15:57:11,30-Jan-2026 15:57:12,00:00:01,https://nsearchives.nseindia.com/corporate/USHAMART_30012026155639_SEIntimationAudioRecording30012026.pdf
SESHAPAPER,Seshasayee Paper and Boards Limited,Credit Rating- New,"Seshasayee Paper and Boards Limited has informed the Exchange, we wish to inform you that ICRA Limited vide its letter dated 30.01.2026 has assigned the Credit Rating for the Credit Facilities availed by the Company from Bankers.",30-Jan-2026 15:56:30,2026-01-30 15:56:30,30-Jan-2026 15:56:31,00:00:01,https://nsearchives.nseindia.com/corporate/SESHAPAPER_30012026155619_ICRA.pdf
HPAL,HP Adhesives Limited,Credit Rating,HP Adhesives Limited has informed the Exchange about Credit Rating,30-Jan-2026 15:56:28,2026-01-30 15:56:28,30-Jan-2026 15:56:29,00:00:01,https://nsearchives.nseindia.com/corporate/HPAL_30012026155616_CreditRating30012026.pdf
NEOGEN,Neogen Chemicals Limited,Analysts/Institutional Investor Meet/Con. Call Updates,Neogen Chemicals Limited has informed the Exchange about Schedule of meet,30-Jan-2026 15:56:00,2026-01-30 15:56:00,30-Jan-2026 15:56:01,00:00:01,https://nsearchives.nseindia.com/corporate/NEOGEN_30012026155546_Intimationofmeeting23022026.pdf
SURAJEST,Suraj Estate Developers Limited,Monitoring Agency Report,"Monitoring Agency Report for the quarter ended December 31, 2025",30-Jan-2026 15:55:42,2026-01-30 15:55:42,30-Jan-2026 15:55:43,00:00:01,https://nsearchives.nseindia.com/corporate/SURAJ_30012026155532_MA.pdf
DCW,DCW Limited,General Updates,DCW Limited has informed the Exchange about General Updates,30-Jan-2026 15:55:28,2026-01-30 15:55:28,30-Jan-2026 15:55:28,00:00:00,https://nsearchives.nseindia.com/corporate/DCW_30012026155518_Intimation_Certified_copy_of_Order_.pdf
APOLLOPIPE,Apollo Pipes Limited,Analysts/Institutional Investor Meet/Con. Call Updates,"Apollo Pipes Limited has informed the Exchange about Link of Recording regarding conference call held on January 30,2026.",30-Jan-2026 15:54:34,2026-01-30 15:54:34,30-Jan-2026 15:54:35,00:00:01,https://nsearchives.nseindia.com/corporate/APOLLOPIPE_30012026155326_Concall30012026.pdf
CRIZAC,Crizac Limited,Updates,Crizac Limited has informed the Exchange regarding 'Communication sent to the Shareholders of the Company regarding the Tax Deduction at Source on Dividend Payout'.,30-Jan-2026 15:52:52,2026-01-30 15:52:52,30-Jan-2026 15:52:53,00:00:01,https://nsearchives.nseindia.com/corporate/CRIZAC0301_30012026155226_Intimation_regarding_Communication_reg_TDS_On_Div_Payout.pdf
PAYTM,One 97 Communications Limited,Analysts/Institutional Investor Meet/Con. Call Updates,"One 97 Communications Limited has informed the Exchange about Audio recording of the Earnings Conference Call dated January 30, 2026",30-Jan-2026 15:52:16,2026-01-30 15:52:16,30-Jan-2026 15:52:17,00:00:01,https://nsearchives.nseindia.com/corporate/PAYTM_30012026155130_SE_Disclosure_Reg30EarningsConferenceCallPresentation_Recordinglink_sd.pdf
AADHARHFC,Aadhar Housing Finance Limited,Outcome of Board Meeting,"Aadhar Housing Finance Limited has submitted to the Exchange, the financial results for the quarter ended December 31, 2025.",30-Jan-2026 15:52:10,2026-01-30 15:52:10,30-Jan-2026 15:52:10,00:00:00,https://nsearchives.nseindia.com/corporate/AHFL2021_30012026155143_Full_Set_Dec25.pdf
KAJARIACER,Kajaria Ceramics Limited,Updates,"In continuation of our letter dated December 29, 2025, regarding Closure of Trading Window, we wish to inform you that pursuant to the Company s Code of Conduct for Prevention of Insider Trading read with the SEBI (Prohibition of Insider Trading) Regulations, 2015, the Trading Window for dealing in the Securities of the Company shall be opened after expiry of forty-eight (48) hours from the announcement of the outcome (including declaration of the Un-audited Financial Results of the Company for the quarter/nine months ended December 31, 2025) of the Board Meeting of the Company held on January 30, 2026 to NSE & BSE.",30-Jan-2026 15:51:54,2026-01-30 15:51:54,30-Jan-2026 15:51:55,00:00:01,https://nsearchives.nseindia.com/corporate/KAJARIACER_30012026155131_Openinhg_SE.pdf
MANBA,Manba Finance Limited,Investor Presentation,Manba Finance Limited has informed the Exchange about Investor Presentation,30-Jan-2026 15:51:31,2026-01-30 15:51:31,30-Jan-2026 15:51:32,00:00:01,https://nsearchives.nseindia.com/corporate/MANBA_30012026154938_IP_Dec_25_sd.pdf
NOIDATOLL,Noida Toll Bridge Company Limited,Press Release,"Please find attached Press release on the Financial Results for the quarter/nine months ended December 31, 2025",30-Jan-2026 15:51:13,2026-01-30 15:51:13,30-Jan-2026 15:51:14,00:00:01,https://nsearchives.nseindia.com/corporate/NOIDATOLL_30012026155013_Media_Release_-_NTBCL_-_Q3FY26-_final_draft_R1__1_.pdf
KAJARIACER,Kajaria Ceramics Limited,Press Release,"Pursuant to the provisions of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, please find enclosed an Investors  Release dated January 30, 2026, specifying the summary of financial performance and other developments for the quarter/nine months ended December 31, 2025.",30-Jan-2026 15:49:44,2026-01-30 15:49:44,30-Jan-2026 15:49:45,00:00:01,https://nsearchives.nseindia.com/corporate/KAJARIACER_30012026154547_Investor_Release.pdf
LCCINFOTEC,LCC Infotech Limited,Corrigendum,LCC Infotech Limited has informed the Exchange regarding Corrigendum to Notice of Extra Ordinary General Meeting,30-Jan-2026 15:48:29,2026-01-30 15:48:29,30-Jan-2026 15:48:30,00:00:01,https://nsearchives.nseindia.com/corporate/LCCINFOTEC_30012026154605_Corrigendum_to_the_Notice.pdf
ELECTHERM,Electrotherm (India) Limited,Defaults on Payment of Interest/Principal,Disclosure of default on payment of interest / repayment of principal amount on loans from Banks / Financial Institutions,30-Jan-2026 15:46:23,2026-01-30 15:46:23,30-Jan-2026 15:46:24,00:00:01,https://nsearchives.nseindia.com/corporate/ELECTHERM_30012026154612_260130_-_SE_Letter_-_Default_Disclosure.pdf
SUVEN,Suven Life Sciences Limited,Copy of Newspaper Publication,Suven Life Sciences Limited has informed the Exchange about Copy of Newspaper Publication,30-Jan-2026 15:46:19,2026-01-30 15:46:19,30-Jan-2026 15:46:19,00:00:00,https://nsearchives.nseindia.com/corporate/SUVEN1509_30012026154605_SUVENNewspapterAdvt30012026.pdf
NAVNETEDUL,Navneet Education Limited,Outcome of Board Meeting,"Navneet Education Limited has submitted to the Exchange, the financial results for the period ended December 31, 2025.",30-Jan-2026 15:45:35,2026-01-30 15:45:35,30-Jan-2026 15:45:37,00:00:02,https://nsearchives.nseindia.com/corporate/NAVNETEDUL_30012026154312_NEL-LH-133.pdf
INTELLECT,Intellect Design Arena Limited,Outcome of Board Meeting,"Intellect Design Arena Limited has submitted to the Exchange, the financial results for the period ended December 31, 2025.",30-Jan-2026 15:45:12,2026-01-30 15:45:12,30-Jan-2026 15:45:13,00:00:01,https://nsearchives.nseindia.com/corporate/INTELLECT_30012026154431_Outcome_of_Q3FY26Final.pdf
SJVN,SJVN Limited,Retirement,SJVN Limited has informed the Exchange about Retirement,30-Jan-2026 15:44:49,2026-01-30 15:44:49,30-Jan-2026 15:44:50,00:00:01,https://nsearchives.nseindia.com/corporate/SJVN_30012026154435_akg.pdf
WALCHANNAG,Walchandnagar Industries Limited,General Updates,Walchandnagar Industries Limited has informed the Exchange about General Updates - Amendment in MoA of the Company pursuant to shifting Registered Office of the Company.,30-Jan-2026 15:43:45,2026-01-30 15:43:45,30-Jan-2026 15:43:46,00:00:01,https://nsearchives.nseindia.com/corporate/WALCHANNAG_30012026154336_WIL__Reg_30_MoA_Change.pdf
CANBK,Canara Bank,Copy of Newspaper Publication,Canara Bank has informed the Exchange about Copy of Newspaper Publication,30-Jan-2026 15:43:04,2026-01-30 15:43:04,30-Jan-2026 15:43:05,00:00:01,https://nsearchives.nseindia.com/corporate/CANBK_30012026154248_signed.pdf
DBREALTY,Valor Estate Limited,Amalgamation/Merger,Intimation of receipt of the order from Hon'ble NCLT approving the Scheme of Merger/Amalgamation of Sahyadri Agro and Dairy Private Limited with Horizontal Ventures Private Limited and their respective shareholders,30-Jan-2026 15:41:54,2026-01-30 15:41:54,30-Jan-2026 15:41:56,00:00:02,https://nsearchives.nseindia.com/corporate/DBR_30012026154136_NSE.pdf
BANARBEADS,Banaras Beads Limited,Updates,"Banaras Beads Limited has informed the Exchange regarding 'Reduction/change in capital due to forfeiture  of 38700 partly paid shares, by board on 29.01.2026. '.",30-Jan-2026 15:41:53,2026-01-30 15:41:53,30-Jan-2026 15:41:55,00:00:02,https://nsearchives.nseindia.com/corporate/BANARBEADS_30012026154115_Capital.pdf
WALCHANNAG,Walchandnagar Industries Limited,General Updates,Walchandnagar Industries Limited has informed the Exchange about General Updates - Shifting of Registered Office of the Company,30-Jan-2026 15:41:41,2026-01-30 15:41:41,30-Jan-2026 15:41:42,00:00:01,https://nsearchives.nseindia.com/corporate/WALCHANNAG_30012026154132_WIL__Reg_30_MoA_Change.pdf
SALZERELEC,Salzer Electronics Limited,Analysts/Institutional Investor Meet/Con. Call Updates,Salzer Electronics Limited has informed the Exchange about Schedule of meet,30-Jan-2026 15:39:43,2026-01-30 15:39:43,30-Jan-2026 15:39:44,00:00:01,https://nsearchives.nseindia.com/corporate/SALZERELEC_30012026153930_EarningCallInviteQ3M9FY26.pdf
