pdf_file_name,this_quarter_total_income,previous_quarter_total_income,same_quarter_last_year_total_income,this_quarter_other_income,previous_quarter_other_income,same_quarter_last_year_other_income,this_quarter_expenses,previous_quarter_expenses,same_quarter_last_year_expenses,this_quarter_comprehensive_income,previous_quarter_comprehensive_income,same_quarter_last_year_comprehensive_income
106_TRANSINDIA_30012026201306_FinalOutcomeSigned.pdf,25.85,28.07,26.37,4.79,7.93,3.34,15.54,16.12,13.29,10.89,8.88,8.84
112_GAEL_30012026200722_Outcome_of_Board_Meeting.pdf,1516.54,1505.87,1139.87,32.37,19.18,8.99,1423.68,1455.08,1042.67,66.68,37.07,71.29
112_GAEL_30012026200722_Outcome_of_Board_Meeting.pdf,1516.56,1505.87,1140.26,66.82,37.13,71.79,66.82,37.13,71.79,66.82,37.13,71.79
113_GLENMARK_30012026200549_BSE_NSE_RESULT_30012026.pdf,24689.91,18244.16,23804.69,317.04,3191.28,424.4,19453.91,17989.88,18209.79,2840.1,-7538.09,4132.73
113_GLENMARK_30012026200549_BSE_NSE_RESULT_30012026.pdf,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
114_TRANSINDIA_30012026200512_FinalOutcomeSigned.pdf,25.85,28.07,26.37,4.79,7.93,3.34,15.54,16.12,13.29,10.89,8.88,8.84
119_SAIL_30012026195902_RESULTS.pdf,27545.93,26910.04,24723.43,174.51,205.87,233.52,27139.86,26113.64,24560.47,192.37,440.28,183.95
119_SAIL_30012026195902_RESULTS.pdf,27371.39,26703.94,24489.63,1.78,2.55,1.25,1.78,2.55,1.25,1.78,2.55,1.25
120_TRANSINDIA_30012026195913_FinalOutcomeSigned.pdf,25.85,28.07,26.37,4.79,7.93,3.34,15.54,16.12,13.29,10.89,8.88,8.84
124_TRANSINDIA_30012026194650_FinalOutcomeSigned.pdf,25.85,28.07,26.37,4.79,7.93,3.34,15.54,16.12,13.29,10.89,8.88,8.84
133_SAIL_30012026194537_RESULTS.pdf,27545.93,26910.04,24723.43,174.51,205.87,233.52,27139.86,26113.64,24560.47,192.37,440.28,183.95
133_SAIL_30012026194537_RESULTS.pdf,27371.39,26703.94,24489.63,1.78,2.55,1.25,1.78,2.55,1.25,1.78,2.55,1.25
137_GAEL_30012026194159_Outcome_of_Board_Meeting.pdf,1516.54,1505.87,1139.87,32.37,19.18,8.99,1423.68,1455.08,1042.67,66.68,37.07,71.29
137_GAEL_30012026194159_Outcome_of_Board_Meeting.pdf,1516.56,1505.87,1140.26,66.82,37.13,71.79,66.82,37.13,71.79,66.82,37.13,71.79
142_SERVOTECH_30012026193709_NSEfinal__3_.pdf,1551.5,39.51,918.94,46.73,116.26,53.41,19126.08,10712.76,20400.68,1551.5,39.51,918.94
